Pt,Pd,Au,Ir,Eta
0.1375,0.1015,0.094,0.667,0.2691961759999999
0.3487,0.1658,0.0403,0.4453,0.4200456668000001
0.3742,0.1144,0.455,0.0564,0.5143765
0.133,0.0667,0.6788,0.1215,0.4959800000000001
0.1544,0.1669,0.5517,0.127,0.4626363
0.2328,0.1835,0.4858,0.0979,0.5038701999999999
0.0736,0.0714,0.1293,0.7257,0.24175466979999993
0.0474,0.2412,0.3196,0.3919,0.29138528060000013
0.0808,0.5361,0.1358,0.2474,0.3870054996000001
0.1406,0.1429,0.4636,0.2529,0.42440100000000003
0.5396,0.1063,0.3239,0.0302,0.4878237000000001
0.5202,0.203,0.2568,0.0199,0.4880351999999999
0.1444,0.3373,0.3648,0.1535,0.44065259999999995
0.2173,0.0732,0.615,0.0945,0.5061507999999999
0.2022,0.253,0.4393,0.1055,0.4937016999999999
0.0831,0.0973,0.4826,0.337,0.4470837000000001
0.1751,0.1289,0.5691,0.1269,0.5131045000000001
0.1026,0.3213,0.2827,0.2934,0.3569905
0.11,0.1056,0.6252,0.1591,0.461025
0.0447,0.3377,0.3148,0.3028,0.3415570051000001
0.4761,0.092,0.3936,0.0383,0.5594195500000001
0.0875,0.2336,0.2712,0.4077,0.3804411999999999
0.1951,0.3545,0.347,0.1035,0.4773786
0.3132,0.0937,0.5264,0.0667,0.5097661
0.2331,0.3578,0.3196,0.0895,0.4491450000000001
0.1396,0.3413,0.3158,0.2032,0.39470000000000005
0.2529,0.1478,0.5112,0.0881,0.5121448
0.1046,0.0912,0.5719,0.2323,0.4511384999999999
0.0767,0.0953,0.6023,0.2257,0.40576809999999996
0.0868,0.0861,0.555,0.2721,0.44203900000000007
0.0624,0.376,0.2307,0.3309,0.32738105800000006
0.0325,0.1485,0.3818,0.4372,0.31123232
0.1988,0.1146,0.0741,0.6124,0.3052094848
0.1015,0.1495,0.5707,0.1783,0.4371984
0.0874,0.0536,0.6995,0.1595,0.4278472
0.2761,0.1084,0.5391,0.0763,0.49225779999999997
0.104,0.0704,0.0958,0.7298,0.24571358760000006
0.3259,0.1963,0.4102,0.0677,0.5195559999999999
0.1082,0.5551,0.0943,0.2423,0.3932049771999999
0.0342,0.2018,0.416,0.3479,0.3501576625
0.6525,0.1073,0.2393,0.0009,0.4874244999999999
0.1721,0.1389,0.5193,0.1697,0.5357752
0.1438,0.2394,0.4781,0.1387,0.4556224
0.1472,0.2485,0.3952,0.2091,0.40593560000000006
0.0919,0.4174,0.1613,0.3294,0.32820570260000004
0.2331,0.3578,0.3196,0.0895,0.4214996
0.0312,0.2852,0.3979,0.2857,0.35972070070000006
0.3729,0.0909,0.4797,0.0566,0.5431652
0.1622,0.1254,0.596,0.1164,0.4709555999999999
0.1975,0.0984,0.5921,0.1119,0.4999696
