V,dJdV
2.619999999999999933e-03,nan
4.619999999999999975e-03,nan
6.599999999999999964e-03,nan
8.569999999999999493e-03,1.697733505190146541e-02
1.060000000000000005e-02,1.623466633477743670e-02
1.260000000000000009e-02,1.575757575757574802e-02
1.460000000000000013e-02,1.515151515151524908e-02
1.660000000000000017e-02,1.333333333333341919e-02
1.859999999999999848e-02,1.181818181818183877e-02
2.060000000000000026e-02,1.212121212121219926e-02
2.259999999999999856e-02,1.143499775078715697e-02
2.450000000000000094e-02,1.084447716026648578e-02
2.649999999999999925e-02,1.152922957801005843e-02
2.860000000000000042e-02,1.121880829197907659e-02
3.059999999999999873e-02,1.090909090909097934e-02
3.259999999999999704e-02,1.121212121212145085e-02
3.459999999999999881e-02,1.121212121212111779e-02
3.660000000000000059e-02,1.090909090909086832e-02
3.860000000000000236e-02,1.090909090909097934e-02
4.059999999999999720e-02,1.090909090909086832e-02
4.259999999999999898e-02,1.060606060606072987e-02
4.460000000000000075e-02,9.696969696969870434e-03
4.660000000000000253e-02,9.090909090909149448e-03
4.859999999999999737e-02,8.787878787878566911e-03
5.059999999999999915e-02,8.181818181818290014e-03
5.260000000000000092e-02,8.787878787878677933e-03
5.460000000000000270e-02,9.393939393939509941e-03
5.659999999999999754e-02,8.484848484848428463e-03
5.859999999999999931e-02,9.090909090909038426e-03
6.060000000000000109e-02,1.000000000000000888e-02
6.260000000000000286e-02,8.787878787878788955e-03
6.460000000000000464e-02,8.181818181818178992e-03
6.660000000000000642e-02,9.041017462070199961e-03
6.850000000000000533e-02,9.136477557530442439e-03
7.059999999999999609e-02,8.801549327864921501e-03
7.249999999999999500e-02,9.009119535435261561e-03
7.449999999999999678e-02,8.035054376517858366e-03
7.660000000000000142e-02,7.103790518424468736e-03
7.860000000000000320e-02,6.969696969696959066e-03
8.060000000000000497e-02,7.173761910603926317e-03
8.250000000000000389e-02,6.287981024823197096e-03
8.450000000000000566e-02,6.666666666666598573e-03
8.649999999999999356e-02,8.787878787878788955e-03
8.849999999999999534e-02,8.787878787878899978e-03
9.049999999999999711e-02,8.484848484848317440e-03
9.249999999999999889e-02,8.787878787878677933e-03
9.450000000000000067e-02,8.484848484848428463e-03
9.650000000000000244e-02,7.575757575757569029e-03
9.850000000000000422e-02,8.658008658008586877e-03
1.000000000000000056e-01,8.398268398268460277e-03
1.019999999999999934e-01,7.575757575757680051e-03
1.039999999999999952e-01,7.878787878787762988e-03
1.059999999999999970e-01,7.272727272727264047e-03
1.079999999999999988e-01,6.464646464646450763e-03
1.110000000000000014e-01,7.191919191919193821e-03
1.130000000000000032e-01,8.181818181818178992e-03
1.150000000000000050e-01,7.878787878787929522e-03
1.170000000000000068e-01,1.555555555555554470e-02
1.179999999999999938e-01,1.585858585858590519e-02
1.209999999999999964e-01,1.222222222222235644e-02
1.219999999999999973e-01,1.151515151515181135e-02
1.239999999999999991e-01,6.969696969696959066e-03
1.260000000000000009e-01,6.868686868686718627e-03
1.290000000000000036e-01,1.292929292929301255e-02
1.300000000000000044e-01,1.292929292929312357e-02
1.320000000000000062e-01,7.878787878787874011e-03
1.340000000000000080e-01,6.666666666666709595e-03
1.360000000000000098e-01,4.848484848484824195e-03
1.380000000000000115e-01,5.454545454545323135e-03
1.400000000000000133e-01,6.060606060606044121e-03
1.419999999999999873e-01,5.454545454545656202e-03
1.439999999999999891e-01,5.454545454545489669e-03
1.459999999999999909e-01,6.060606060606044121e-03
1.479999999999999927e-01,5.454545454545434158e-03
1.499999999999999944e-01,5.454545454545378647e-03
1.519999999999999962e-01,6.666666666666709595e-03
1.539999999999999980e-01,8.181818181818234503e-03
1.559999999999999998e-01,8.484848484848428463e-03
1.580000000000000016e-01,8.181818181818178992e-03
1.600000000000000033e-01,8.181818181818234503e-03
1.620000000000000051e-01,8.181818181818123481e-03
1.640000000000000069e-01,6.666666666666654084e-03
1.660000000000000087e-01,5.454545454545545180e-03
1.680000000000000104e-01,6.363636363636349103e-03
1.700000000000000122e-01,6.666666666666654084e-03
1.719999999999999862e-01,6.060606060606155143e-03
1.739999999999999880e-01,7.272727272727319558e-03
1.759999999999999898e-01,8.787878787878788955e-03
1.779999999999999916e-01,8.181818181818123481e-03
1.799999999999999933e-01,8.181818181818067970e-03
1.819999999999999951e-01,7.575757575757569029e-03
1.839999999999999969e-01,5.454545454545600691e-03
1.859999999999999987e-01,4.545454545454574724e-03
1.880000000000000004e-01,5.757575757575739139e-03
1.900000000000000022e-01,6.060606060605988610e-03
1.920000000000000040e-01,6.666666666666543062e-03
1.940000000000000058e-01,8.181818181818234503e-03
1.960000000000000075e-01,7.878787878787874011e-03
1.980000000000000093e-01,5.757575757575739139e-03
2.000000000000000111e-01,3.939393939393964761e-03
2.020000000000000129e-01,3.939393939393909250e-03
2.039999999999999869e-01,4.848484848484935217e-03
2.059999999999999887e-01,5.757575757575683628e-03
2.079999999999999905e-01,6.969696969696959066e-03
2.099999999999999922e-01,8.181818181818290014e-03
2.119999999999999940e-01,7.878787878787874011e-03
2.139999999999999958e-01,6.666666666666598573e-03
2.159999999999999976e-01,6.363636363636349103e-03
2.179999999999999993e-01,6.363636363636404614e-03
2.200000000000000011e-01,6.060606060606099632e-03
2.220000000000000029e-01,6.363636363636349103e-03
2.240000000000000047e-01,6.666666666666598573e-03
2.260000000000000064e-01,6.363636363636349103e-03
2.280000000000000082e-01,5.757575757575739139e-03
2.300000000000000100e-01,6.666666666666654084e-03
2.320000000000000118e-01,6.969696969696959066e-03
2.340000000000000135e-01,6.363636363636349103e-03
2.359999999999999876e-01,6.969696969697070088e-03
2.379999999999999893e-01,7.878787878787929522e-03
2.399999999999999911e-01,7.575757575757569029e-03
2.419999999999999929e-01,6.969696969696959066e-03
2.439999999999999947e-01,7.272727272727264047e-03
2.459999999999999964e-01,7.272727272727264047e-03
2.479999999999999982e-01,6.666666666666654084e-03
2.500000000000000000e-01,6.666666666666654084e-03
2.520000000000000018e-01,6.969696969696986821e-03
2.540000000000000036e-01,6.666666666666654084e-03
2.560000000000000053e-01,6.060606060606071877e-03
2.580000000000000071e-01,5.151515151515184687e-03
2.600000000000000089e-01,5.151515151515129176e-03
2.620000000000000107e-01,6.363636363636321347e-03
2.640000000000000124e-01,6.666666666666654084e-03
2.660000000000000142e-01,6.969696969696986821e-03
2.680000000000000160e-01,7.878787878787874011e-03
2.700000000000000178e-01,6.060606060606016365e-03
2.720000000000000195e-01,5.151515151515129176e-03
2.740000000000000213e-01,5.454545454545461913e-03
