V,dJdV
4.510000000000000120e-03,nan
6.539999999999999807e-03,nan
8.519999999999999796e-03,nan
1.050000000000000065e-02,4.176961877496637721e-03
1.260000000000000009e-02,3.412592827226945680e-03
1.460000000000000013e-02,2.606060606060611740e-03
1.660000000000000017e-02,2.848484848484850174e-03
1.859999999999999848e-02,2.428250112460644816e-03
2.050000000000000086e-02,1.571995256205688252e-03
2.249999999999999917e-02,1.636363636363658003e-03
2.450000000000000094e-02,1.818181818181829890e-03
2.649999999999999925e-02,1.515151515151524908e-03
2.850000000000000103e-02,1.871256115158537181e-03
3.059999999999999873e-02,2.554182944426885982e-03
3.259999999999999704e-02,2.818181818181858533e-03
3.459999999999999881e-02,2.958082852819704511e-03
3.649999999999999772e-02,2.928556823293654299e-03
3.849999999999999950e-02,3.000000000000002665e-03
4.050000000000000128e-02,3.272727272727232739e-03
4.250000000000000305e-02,3.606060606060640383e-03
4.449999999999999789e-02,3.818181818181803910e-03
4.649999999999999967e-02,3.030303030303022060e-03
4.850000000000000144e-02,3.151515151515141278e-03
5.050000000000000322e-02,3.766304156548036519e-03
5.260000000000000092e-02,2.772956041248733627e-03
5.460000000000000270e-02,2.272727272727287362e-03
5.659999999999999754e-02,3.795117163538225258e-03
5.850000000000000339e-02,3.322700691121727168e-03
6.049999999999999822e-02,2.090909090909087720e-03
6.250000000000000000e-02,2.727272727272717079e-03
6.450000000000000178e-02,3.363636363636346438e-03
6.650000000000000355e-02,3.060606060606069212e-03
6.850000000000000533e-02,2.848484848484850174e-03
7.049999999999999323e-02,2.333333333333353909e-03
7.249999999999999500e-02,1.424242424242425087e-03
7.449999999999999678e-02,1.212121212121233804e-03
7.649999999999999856e-02,9.393939393939343407e-04
7.850000000000000033e-02,1.484848484848463879e-03
8.050000000000000211e-02,1.545454545454544304e-03
8.250000000000000389e-02,1.575757575757563700e-03
8.450000000000000566e-02,1.454545454545458361e-03
8.649999999999999356e-02,2.181818181818215296e-03
8.849999999999999534e-02,2.121212121212093238e-03
9.049999999999999711e-02,2.212121212121206937e-03
9.249999999999999889e-02,2.824847666952956526e-03
9.439999999999999780e-02,2.559113401218643391e-03
9.639999999999999958e-02,1.333333333333325266e-03
9.840000000000000135e-02,4.124579124579197398e-04
1.000000000000000056e-01,1.112794612794593130e-03
1.019999999999999934e-01,1.424242424242425087e-03
1.039999999999999952e-01,5.151515151515101421e-04
1.059999999999999970e-01,1.212121212121053393e-04
1.079999999999999988e-01,1.909090909090901955e-03
1.100000000000000006e-01,2.424242424242425975e-03
1.120000000000000023e-01,2.000000000000001776e-03
1.140000000000000041e-01,2.484848484848492522e-03
1.160000000000000059e-01,3.333333333333327042e-03
1.179999999999999938e-01,2.424242424242439853e-03
1.199999999999999956e-01,1.666666666666677399e-03
1.219999999999999973e-01,2.060606060606054446e-03
1.239999999999999991e-01,1.818181818181802134e-03
1.260000000000000009e-01,1.030303030303034162e-03
1.280000000000000027e-01,7.575757575757624540e-04
1.300000000000000044e-01,8.787878787878677933e-04
1.320000000000000062e-01,8.181818181818290014e-04
1.340000000000000080e-01,1.242424242424253200e-03
1.360000000000000098e-01,2.575757575757550710e-03
1.380000000000000115e-01,3.303030303030293768e-03
1.400000000000000133e-01,2.242424242424254088e-03
1.419999999999999873e-01,1.212121212121233804e-03
1.439999999999999891e-01,9.090909090909149448e-04
1.459999999999999909e-01,1.121212121212133983e-03
1.479999999999999927e-01,7.878787878787818499e-04
1.499999999999999944e-01,3.030303030303049816e-04
1.519999999999999962e-01,7.878787878787957277e-04
1.539999999999999980e-01,1.696969696969669039e-03
1.559999999999999998e-01,1.242424242424225445e-03
1.580000000000000016e-01,1.757575757575763342e-03
1.600000000000000033e-01,2.939393939393936117e-03
1.620000000000000051e-01,2.121212121212120993e-03
1.640000000000000069e-01,1.545454545454558182e-03
1.660000000000000087e-01,2.090909090909073842e-03
1.680000000000000104e-01,1.363636363636344662e-03
1.700000000000000122e-01,6.666666666666903884e-04
1.719999999999999862e-01,9.090909090909427004e-04
1.739999999999999880e-01,8.181818181818012459e-04
1.759999999999999898e-01,6.666666666666487551e-04
1.779999999999999916e-01,7.878787878787957277e-04
1.799999999999999933e-01,9.090909090909288226e-04
1.819999999999999951e-01,9.393939393939343407e-04
1.839999999999999969e-01,1.212121212121206049e-03
1.859999999999999987e-01,8.181818181818151237e-04
1.880000000000000004e-01,4.545454545454435946e-04
1.900000000000000022e-01,8.484848484848483974e-04
1.920000000000000040e-01,1.636363636363630247e-03
1.940000000000000058e-01,7.878787878787818499e-04
1.960000000000000075e-01,-2.727272727272717079e-04
1.980000000000000093e-01,4.242424242424380765e-04
2.000000000000000111e-01,8.484848484848622752e-04
2.020000000000000129e-01,6.666666666666487551e-04
2.039999999999999869e-01,1.393939393939377935e-03
2.059999999999999887e-01,1.878787878787861743e-03
2.079999999999999905e-01,1.272727272727272596e-03
2.099999999999999922e-01,9.696969696969745534e-04
2.119999999999999940e-01,1.181818181818186653e-03
2.139999999999999958e-01,9.090909090909149448e-04
2.159999999999999976e-01,7.575757575757555151e-04
2.179999999999999993e-01,1.151515151515153379e-03
2.200000000000000011e-01,1.151515151515153379e-03
2.220000000000000029e-01,1.060606060606060497e-03
2.240000000000000047e-01,1.121212121212120105e-03
2.260000000000000064e-01,1.909090909090908894e-03
2.280000000000000082e-01,2.121212121212120993e-03
2.300000000000000100e-01,1.727272727272709252e-03
2.320000000000000118e-01,2.212121212121199998e-03
2.340000000000000135e-01,2.090909090909101598e-03
2.359999999999999876e-01,1.151515151515167257e-03
2.379999999999999893e-01,5.757575757575697506e-04
2.399999999999999911e-01,6.969696969696889677e-04
2.419999999999999929e-01,1.515151515151524908e-04
2.439999999999999947e-01,-4.545454545454366557e-04
2.459999999999999964e-01,-1.212121212121206049e-03
2.479999999999999982e-01,-1.757575757575777220e-03
2.500000000000000000e-01,-1.969696969696975442e-03
2.520000000000000018e-01,-1.575757575757563700e-03
2.540000000000000036e-01,-2.424242424242384342e-04
2.560000000000000053e-01,1.242424242424239322e-03
2.580000000000000071e-01,2.696969696969697683e-03
2.600000000000000089e-01,2.757575757575771169e-03
2.620000000000000107e-01,1.515151515151504091e-03
2.640000000000000124e-01,7.272727272727153025e-04
2.660000000000000142e-01,5.454545454545503547e-04
2.680000000000000160e-01,3.636363636363715290e-04
2.700000000000000178e-01,3.333333333333313164e-04
2.720000000000000195e-01,2.121212121211982216e-04
2.740000000000000213e-01,5.757575757575697506e-04
2.760000000000000231e-01,5.151515151515240198e-04
2.780000000000000249e-01,-6.363636363636362980e-04
2.800000000000000266e-01,-9.696969696969676145e-04
2.819999999999999729e-01,3.333333333333104997e-04
2.839999999999999747e-01,9.696969696969606756e-04
2.859999999999999765e-01,6.969696969697097844e-04
2.879999999999999782e-01,4.848484848484907461e-04
2.899999999999999800e-01,1.424242424242418148e-03
2.919999999999999818e-01,6.969696969697028455e-04
2.939999999999999836e-01,-6.060606060605891465e-04
2.959999999999999853e-01,1.515151515151455519e-04
2.979999999999999871e-01,8.787878787878608544e-04
2.999999999999999889e-01,3.333333333333451942e-04
3.019999999999999907e-01,6.969696969696889677e-04
3.039999999999999925e-01,1.545454545454530426e-03
3.059999999999999942e-01,7.575757575757624540e-04
3.079999999999999960e-01,-4.545454545454505335e-04
3.099999999999999978e-01,-5.151515151515240198e-04
3.119999999999999996e-01,1.212121212121122782e-04
3.140000000000000013e-01,-1.818181818181718867e-04
3.160000000000000031e-01,4.848484848484907461e-04
3.180000000000000049e-01,1.939393939393935229e-03
3.200000000000000067e-01,1.909090909090901955e-03
3.220000000000000084e-01,1.484848484848484695e-03
3.240000000000000102e-01,1.818181818181822951e-03
3.260000000000000120e-01,1.272727272727272596e-03
3.280000000000000138e-01,5.757575757575766895e-04
3.300000000000000155e-01,6.060606060606030243e-04
3.320000000000000173e-01,6.969696969696959066e-04
3.340000000000000191e-01,-3.333333333333243775e-04
3.360000000000000209e-01,-1.393939393939398752e-03
3.380000000000000226e-01,-1.121212121212120105e-03
3.400000000000000244e-01,-9.393939393939343407e-04
3.420000000000000262e-01,-7.575757575757624540e-04
3.439999999999999725e-01,-3.030303030305409040e-05
3.459999999999999742e-01,6.363636363636432369e-04
3.479999999999999760e-01,5.151515151515240198e-04
3.499999999999999778e-01,3.636363636363645901e-04
3.519999999999999796e-01,7.575757575757485762e-04
3.539999999999999813e-01,1.090909090909079893e-03
3.559999999999999831e-01,1.121212121212127044e-03
3.579999999999999849e-01,1.606060606060610851e-03
3.599999999999999867e-01,1.757575757575756403e-03
3.619999999999999885e-01,1.060606060606060497e-03
3.639999999999999902e-01,7.272727272727222414e-04
3.659999999999999920e-01,-3.030303030303327372e-05
3.679999999999999938e-01,-7.878787878787887888e-04
3.699999999999999956e-01,-4.242424242424241987e-04
3.719999999999999973e-01,-6.969696969696959066e-04
3.739999999999999991e-01,-1.393939393939398752e-03
3.760000000000000009e-01,-4.848484848484907461e-04
3.780000000000000027e-01,3.030303030303327372e-05
3.800000000000000044e-01,3.636363636363715290e-04
3.820000000000000062e-01,5.454545454545503547e-04
3.840000000000000080e-01,4.545454545454505335e-04
3.860000000000000098e-01,3.636363636363645901e-04
3.880000000000000115e-01,-1.818181818181788256e-04
3.900000000000000133e-01,-1.666666666666663521e-03
3.920000000000000151e-01,-1.545454545454551243e-03
3.940000000000000169e-01,-6.060606060606654744e-05
3.960000000000000187e-01,-6.363636363636293591e-04
3.980000000000000204e-01,-4.545454545454505335e-04
4.000000000000000222e-01,6.060606060605960854e-05
4.020000000000000240e-01,-7.575757575757555151e-04
4.040000000000000258e-01,-1.787878787878782738e-03
4.060000000000000275e-01,-6.060606060605683298e-04
4.079999999999999738e-01,2.121212121212259771e-04
4.099999999999999756e-01,5.757575757575697506e-04
4.119999999999999774e-01,1.000000000000014766e-03
4.139999999999999791e-01,3.333333333333313164e-04
4.159999999999999809e-01,9.090909090909288226e-05
4.179999999999999827e-01,2.727272727272717079e-04
4.199999999999999845e-01,5.151515151515170809e-04
4.219999999999999862e-01,5.151515151515170809e-04
4.239999999999999880e-01,1.121212121212106227e-03
4.259999999999999898e-01,9.090909090909010670e-04
4.279999999999999916e-01,-2.424242424242384342e-04
4.299999999999999933e-01,-1.181818181818172775e-03
4.319999999999999951e-01,-2.727272727272786468e-04
4.339999999999999969e-01,9.090909090909288226e-05
4.359999999999999987e-01,-8.181818181818151237e-04
4.380000000000000004e-01,5.151515151515170809e-04
4.400000000000000022e-01,1.515151515151517969e-03
4.420000000000000040e-01,4.848484848484838072e-04
4.440000000000000058e-01,1.090909090909093770e-03
4.460000000000000075e-01,2.121212121212114055e-03
4.480000000000000093e-01,3.636363636363576513e-04
4.500000000000000111e-01,-2.121212121212120993e-04
4.520000000000000129e-01,2.424242424242384342e-04
4.540000000000000147e-01,-4.545454545454574724e-04
4.560000000000000164e-01,-9.393939393939343407e-04
4.580000000000000182e-01,-2.424242424242384342e-04
4.600000000000000200e-01,6.060606060606030243e-04
4.620000000000000218e-01,3.939393939393978639e-04
4.640000000000000235e-01,-3.030303030302633482e-05
