V,dJdV
4.599999999999999922e-03,nan
6.629999999999999609e-03,nan
8.609999999999999598e-03,nan
1.060000000000000005e-02,1.823066116639260326e-02
1.260000000000000009e-02,1.606060606060610851e-02
1.460000000000000013e-02,1.636363636363624696e-02
1.660000000000000017e-02,1.818181818181829890e-02
1.859999999999999848e-02,1.666666666666682950e-02
2.060000000000000026e-02,1.515151515151502704e-02
2.259999999999999856e-02,1.575757575757585904e-02
2.460000000000000034e-02,1.606060606060599749e-02
2.659999999999999865e-02,1.484848484848499961e-02
2.860000000000000042e-02,1.333333333333319715e-02
3.059999999999999873e-02,1.393939393939402915e-02
3.259999999999999704e-02,1.333333333333330817e-02
3.459999999999999881e-02,1.121212121212122881e-02
3.660000000000000059e-02,1.151515151515158930e-02
3.860000000000000236e-02,1.333333333333330817e-02
4.059999999999999720e-02,1.272727272727280923e-02
4.259999999999999898e-02,1.181818181818183877e-02
4.460000000000000075e-02,1.307078886026247222e-02
4.649999999999999967e-02,1.251689830637214840e-02
4.859999999999999737e-02,1.152922957801028048e-02
5.059999999999999915e-02,1.212121212121219926e-02
5.260000000000000092e-02,1.212121212121219926e-02
5.460000000000000270e-02,1.182595182595169714e-02
5.650000000000000161e-02,1.102453102453104794e-02
5.859999999999999931e-02,1.006370323443506187e-02
6.060000000000000109e-02,9.599640125955932746e-03
6.250000000000000000e-02,9.075719602035348110e-03
6.460000000000000464e-02,9.410647831700535981e-03
6.650000000000000355e-02,1.022205864311126478e-02
6.850000000000000533e-02,1.030303030303020284e-02
7.049999999999999323e-02,9.090909090909260470e-03
7.249999999999999500e-02,8.484848484848483974e-03
7.449999999999999678e-02,8.006194347657868970e-03
7.660000000000000142e-02,8.253208779524456862e-03
7.850000000000000033e-02,8.253208779524678906e-03
8.060000000000000497e-02,9.257993468519798430e-03
8.250000000000000389e-02,9.990594201120417406e-03
8.450000000000000566e-02,9.090909090909038426e-03
8.649999999999999356e-02,8.484848484848539485e-03
8.849999999999999534e-02,8.181818181818178992e-03
9.049999999999999711e-02,8.181818181818178992e-03
9.249999999999999889e-02,7.878787878787818499e-03
9.450000000000000067e-02,7.575757575757624540e-03
9.650000000000000244e-02,8.123338649654476828e-03
9.840000000000000135e-02,9.840510366825983013e-03
1.000000000000000056e-01,8.603425559947197598e-03
1.029999999999999943e-01,7.030303030303053369e-03
1.049999999999999961e-01,8.181818181818234503e-03
1.069999999999999979e-01,7.878787878787874011e-03
1.089999999999999997e-01,6.969696969696903555e-03
1.110000000000000014e-01,7.272727272727264047e-03
1.130000000000000032e-01,8.787878787878844467e-03
1.150000000000000050e-01,8.787878787878788955e-03
1.170000000000000068e-01,8.484848484848483974e-03
1.189999999999999947e-01,8.787878787878899978e-03
