Pt,Pd,Au,Ir,Eta,Eta5,File
0.2717,0.3499,0.3062,0.0721,0.793898,0.7250486681335254,Run10-2-spot1.DTA.csv
0.1157,0.2288,0.4342,0.2213,0.7402195,0.6382095035158084,Run10-2-spot10.DTA.csv
0.0897,0.232,0.3647,0.3153,0.6214405000000001,0.5488199362360179,Run10-2-spot11.DTA.csv
0.0674,0.2104,0.295,0.4272,0.5845251327158413,0.5125221987465559,Run10-2-spot12.DTA.csv
0.4335,0.1981,0.328,0.0403,nan,0.7917162918186195,Run10-2-spot13.DTA.csv
0.3259,0.1963,0.4102,0.0677,nan,0.7787191448779894,Run10-2-spot14.DTA.csv
0.2328,0.1835,0.4858,0.0979,0.8051695000000003,0.7506835440796018,Run10-2-spot15.DTA.csv
0.1246,0.168,0.5033,0.204,0.734558,0.66537840036058,Run10-2-spot17.DTA.csv
0.0935,0.1705,0.4324,0.3036,0.6787210000000001,0.6024597979172295,Run10-2-spot18.DTA.csv
0.0711,0.1614,0.345,0.4226,0.5623354999999999,0.5092671604375554,Run10-2-spot19.DTA.csv
0.1951,0.3545,0.347,0.1035,0.759147,0.7076720749093256,Run10-2-spot2.DTA.csv
0.4831,0.1529,0.3268,0.0373,nan,0.7779367920461335,Run10-2-spot20.DTA.csv
0.3653,0.1601,0.4174,0.0572,nan,0.7871028055640269,Run10-2-spot21.DTA.csv
0.2529,0.1478,0.5112,0.0881,nan,0.7796205872486647,Run10-2-spot22.DTA.csv
0.1751,0.1289,0.5691,0.1269,nan,0.7527722499808114,Run10-2-spot23.DTA.csv
0.1295,0.1213,0.5666,0.1826,0.7436555,0.6899250755314291,Run10-2-spot24.DTA.csv
0.0971,0.124,0.504,0.2749,0.7100885000000001,0.6369050246896192,Run10-2-spot25.DTA.csv
0.0767,0.126,0.4065,0.3907,0.5763480000000001,0.5362708274146547,Run10-2-spot26.DTA.csv
0.5273,0.1176,0.3237,0.0314,nan,0.7763114891566631,Run10-2-spot27.DTA.csv
0.4087,0.1258,0.4146,0.0509,nan,0.7872022793309753,Run10-2-spot28.DTA.csv
0.2973,0.1163,0.5138,0.0726,0.8082490647073173,0.7622225517560982,Run10-2-spot29.DTA.csv
0.1444,0.3373,0.3648,0.1535,0.7019337687772804,0.6290674388823362,Run10-2-spot3.DTA.csv
0.1975,0.0984,0.5921,0.1119,0.7977940000000001,0.7469965289600825,Run10-2-spot30.DTA.csv
0.1397,0.0928,0.6118,0.1556,0.798249064707317,0.7122240953005509,Run10-2-spot31.DTA.csv
0.1046,0.0912,0.5719,0.2323,0.7261907228082214,0.657339451931119,Run10-2-spot32.DTA.csv
0.0831,0.0973,0.4826,0.337,0.6839485000000001,0.6000739445404103,Run10-2-spot33.DTA.csv
0.5665,0.095,0.3169,0.0216,nan,0.8349978796745944,Run10-2-spot34.DTA.csv
0.4542,0.1072,0.3981,0.0405,nan,0.7980773971232651,Run10-2-spot35.DTA.csv
0.3267,0.1005,0.5033,0.0695,nan,0.7829365914057641,Run10-2-spot36.DTA.csv
0.2258,0.0858,0.5901,0.0984,0.820071,0.7674740092549761,Run10-2-spot37.DTA.csv
0.1493,0.0806,0.6372,0.1329,0.7796401025044546,0.730412968516932,Run10-2-spot38.DTA.csv
0.1098,0.0749,0.626,0.1894,0.7765565000000003,0.7163778117682736,Run10-2-spot39.DTA.csv
0.1071,0.3289,0.3434,0.2206,0.6792625000000001,0.6000518420434302,Run10-2-spot4.DTA.csv
0.0868,0.0861,0.555,0.2721,0.7082075000000001,0.6338797094183749,Run10-2-spot40.DTA.csv
0.4761,0.092,0.3936,0.0383,nan,0.8596432996953532,Run10-2-spot41.DTA.csv
0.3729,0.0909,0.4797,0.0566,nan,0.8192410000000003,Run10-2-spot42.DTA.csv
0.2573,0.0782,0.5824,0.0821,nan,0.7775905724356132,Run10-2-spot43.DTA.csv
0.17,0.0678,0.6538,0.1084,0.8056325000000002,0.7466906205457545,Run10-2-spot44.DTA.csv
0.1232,0.0679,0.6599,0.149,0.7557156036216933,0.7109579436666386,Run10-2-spot45.DTA.csv
0.0807,0.3088,0.3047,0.3059,0.6298895,0.5507843844605043,Run10-2-spot5.DTA.csv
0.3943,0.2626,0.3045,0.0386,0.8156149999999998,0.7709051038370873,Run10-2-spot6.DTA.csv
0.2968,0.2589,0.3731,0.0712,0.8078259999999999,0.7520116369157965,Run10-2-spot7.DTA.csv
0.2161,0.2553,0.429,0.1026,0.7989315000000001,0.73256575,Run10-2-spot8.DTA.csv
0.1599,0.245,0.4481,0.1471,0.7723635,0.7042802118348426,Run10-2-spot9.DTA.csv
0.1465,0.5444,0.0746,0.2346,0.6598009250000001,0.6029999973743192,Run12-spot1.DTA.csv
0.0624,0.376,0.2307,0.3309,0.5948175585,0.5405073467445968,Run12-spot10.DTA.csv
0.0447,0.3377,0.3148,0.3028,0.6248155128962649,0.570508246095761,Run12-spot11.DTA.csv
0.0312,0.2852,0.3979,0.2857,0.6402016738144461,0.593200251950221,Run12-spot12.DTA.csv
0.267,0.3257,0.0547,0.3526,0.6618667523940274,0.6123770173616612,Run12-spot13.DTA.csv
0.2019,0.3251,0.0794,0.3937,0.6273439038307915,0.5717715515119947,Run12-spot14.DTA.csv
0.1513,0.3178,0.1059,0.4251,0.626302288,0.5662499101350336,Run12-spot15.DTA.csv
0.109,0.3007,0.1574,0.4329,0.6304481128829191,0.5883238050034472,Run12-spot16.DTA.csv
0.0715,0.271,0.2303,0.4273,0.5890744634604679,0.5376370163638008,Run12-spot17.DTA.csv
0.0474,0.2412,0.3196,0.3919,0.5906707019708229,0.5384352497883987,Run12-spot18.DTA.csv
0.0342,0.2018,0.416,0.3479,0.6314712644783133,0.5830195478784453,Run12-spot19.DTA.csv
0.1082,0.5551,0.0943,0.2423,0.673185142301624,0.6262414079574533,Run12-spot2.DTA.csv
0.3097,0.2335,0.0468,0.4101,0.660870306136603,0.6123991994203732,Run12-spot20.DTA.csv
0.3274,0.2254,0.0686,0.3986,0.6355894344604506,0.5843933261674428,Run12-spot21.DTA.csv
0.1704,0.2235,0.0999,0.5062,0.6126330256618648,0.5544162856202036,Run12-spot22.DTA.csv
0.1216,0.2101,0.1388,0.5296,0.6610852985,0.5986413934995205,Run12-spot23.DTA.csv
0.0782,0.1889,0.2009,0.532,0.6041953081619363,0.531162008301456,Run12-spot24.DTA.csv
0.057,0.1665,0.2785,0.498,0.582635295,0.5252560269976979,Run12-spot25.DTA.csv
0.0325,0.1485,0.3818,0.4372,0.597599963384313,0.5443929046950602,Run12-spot26.DTA.csv
0.3487,0.1658,0.0403,0.4453,0.7053163204999999,0.6507573469836996,Run12-spot27.DTA.csv
0.2591,0.1626,0.0641,0.5142,0.6272759035,0.5767379517500002,Run12-spot28.DTA.csv
0.1853,0.1616,0.0819,0.5712,0.6115623123454688,0.5488814036390925,Run12-spot29.DTA.csv
0.0808,0.5361,0.1358,0.2474,0.6692930615000001,0.6277448141313707,Run12-spot3.DTA.csv
0.1339,0.1461,0.111,0.609,0.5867403957897751,0.5264706579174494,Run12-spot30.DTA.csv
0.0845,0.1323,0.1546,0.6286,0.5901092475,0.5131539812434375,Run12-spot31.DTA.csv
0.0586,0.1262,0.2125,0.6028,0.5906156640025955,0.523426986980864,Run12-spot32.DTA.csv
0.0384,0.1138,0.3177,0.53,0.5376814704999999,0.49193828235027176,Run12-spot33.DTA.csv
0.3825,0.1256,0.0314,0.4604,nan,0.7931526769018266,Run12-spot34.DTA.csv
0.1988,0.1146,0.0741,0.6124,0.5915496982696933,0.5313667476946378,Run12-spot36.DTA.csv
0.1375,0.1015,0.094,0.667,0.5612586981170375,0.5037294010019188,Run12-spot37.DTA.csv
0.0943,0.0959,0.1192,0.6906,0.5258518909999998,0.47602491426277316,Run12-spot38.DTA.csv
0.0639,0.0957,0.1638,0.6766,0.5327632295,0.47948073376188977,Run12-spot39.DTA.csv
0.056,0.5051,0.1957,0.2432,0.685111998997191,0.6431488117506429,Run12-spot4.DTA.csv
0.0411,0.0921,0.2475,0.6193,0.5362014799999999,0.483716126036722,Run12-spot40.DTA.csv
0.305,0.0882,0.0446,0.5621,0.6555139350000001,0.57085621455308,Run12-spot41.DTA.csv
0.2233,0.0864,0.0585,0.6318,0.595751535,0.5489844733648763,Run12-spot42.DTA.csv
0.1515,0.0731,0.0734,0.7019,0.6148413154999999,0.5455200341748646,Run12-spot43.DTA.csv
0.104,0.0704,0.0958,0.7298,0.534803623,0.49050181149999994,Run12-spot44.DTA.csv
0.0736,0.0714,0.1293,0.7257,0.5501353009999999,0.4931676505,Run12-spot45.DTA.csv
0.0432,0.4529,0.268,0.2359,0.6450800240000001,0.5906385411432039,Run12-spot5.DTA.csv
0.2389,0.4308,0.0492,0.2811,0.6731973739999999,0.6196975255010082,Run12-spot6.DTA.csv
0.1764,0.426,0.0821,0.3154,0.6345961185,0.5753973878922389,Run12-spot7.DTA.csv
0.1294,0.4334,0.1083,0.3288,0.6226802309999999,0.5694392817265939,Run12-spot8.DTA.csv
0.0919,0.4174,0.1613,0.3294,0.5956658395127241,0.54093393475,Run12-spot9.DTA.csv
0.1874,0.109,0.5628,0.1409,0.7282490647073172,0.6722238196303955,Run9-2-spot31.DTA.csv
0.139,0.1152,0.5325,0.2133,0.7111775,0.6636875943484816,Run9-2-spot32.DTA.csv
0.116,0.1212,0.459,0.3037,0.6739485000000001,0.6100739455261932,Run9-2-spot33.DTA.csv
0.6525,0.1073,0.2393,0.0009,0.7977775,0.7669865839319374,Run9-2-spot34.DTA.csv
0.5396,0.1063,0.3239,0.0302,0.7899555,0.76807775,Run9-2-spot35.DTA.csv
0.4261,0.1038,0.4185,0.0516,0.7996720911654174,0.7729365888305075,Run9-2-spot36.DTA.csv
0.2963,0.1031,0.5191,0.0815,0.7900692345346467,0.758132002900975,Run9-2-spot37.DTA.csv
0.2058,0.0902,0.5836,0.1204,0.784627,0.7504128055366021,Run9-2-spot38.DTA.csv
